Raw file name,Strain,Replicate number,Gel piece number
110224_OV3_P3_BH_HA_SACO_1_1.raw,HM1052-pJAM1198,1,1
110224_OV3_P3_BH_HA_SACO_1_10.raw,HM1052-pJAM1198,1,10
110224_OV3_P3_BH_HA_SACO_1_2.raw,HM1052-pJAM1198,1,2
110224_OV3_P3_BH_HA_SACO_1_3.raw,HM1052-pJAM1198,1,3
110224_OV3_P3_BH_HA_SACO_1_4.raw,HM1052-pJAM1198,1,4
110224_OV3_P3_BH_HA_SACO_1_5.raw,HM1052-pJAM1198,1,5
110224_OV3_P3_BH_HA_SACO_1_6.raw,HM1052-pJAM1198,1,6
110224_OV3_P3_BH_HA_SACO_1_7.raw,HM1052-pJAM1198,1,7
110224_OV3_P3_BH_HA_SACO_1_8.raw,HM1052-pJAM1198,1,8
110224_OV3_P3_BH_HA_SACO_1_9.raw,HM1052-pJAM1198,1,9
110224_OV3_P3_BH_HA_SACO_2_1.raw,HM1052-pJAM1198,2,1
110224_OV3_P3_BH_HA_SACO_2_10.raw,HM1052-pJAM1198,2,10
110224_OV3_P3_BH_HA_SACO_2_2.raw,HM1052-pJAM1198,2,2
110224_OV3_P3_BH_HA_SACO_2_3.raw,HM1052-pJAM1198,2,3
110224_OV3_P3_BH_HA_SACO_2_4.raw,HM1052-pJAM1198,2,4
110224_OV3_P3_BH_HA_SACO_2_5.raw,HM1052-pJAM1198,2,5
110224_OV3_P3_BH_HA_SACO_2_6.raw,HM1052-pJAM1198,2,6
110224_OV3_P3_BH_HA_SACO_2_7.raw,HM1052-pJAM1198,2,7
110224_OV3_P3_BH_HA_SACO_2_8.raw,HM1052-pJAM1198,2,8
110224_OV3_P3_BH_HA_SACO_2_9.raw,HM1052-pJAM1198,2,9
110317_OV3_P3_BH_HA_SA1_01.raw,H26-pJAM1198,1,1
110317_OV3_P3_BH_HA_SA1_02.raw,H26-pJAM1198,1,2
110317_OV3_P3_BH_HA_SA1_03.raw,H26-pJAM1198,1,3
110317_OV3_P3_BH_HA_SA1_04.raw,H26-pJAM1198,1,4
110317_OV3_P3_BH_HA_SA1_05_110318144238.raw,H26-pJAM1198,1,5
110317_OV3_P3_BH_HA_SA1_06.raw,H26-pJAM1198,1,6
110317_OV3_P3_BH_HA_SA1_07.raw,H26-pJAM1198,1,7
110317_OV3_P3_BH_HA_SA1_08.raw,H26-pJAM1198,1,8
110317_OV3_P3_BH_HA_SA1_09.raw,H26-pJAM1198,1,9
110317_OV3_P3_BH_HA_SA1_10.raw,H26-pJAM1198,1,10
110318_OV3_P3_BH_HA_SA2_01.raw,H26-pJAM1198,2,1
110318_OV3_P3_BH_HA_SA2_02.raw,H26-pJAM1198,2,2
110318_OV3_P3_BH_HA_SA2_03.raw,H26-pJAM1198,2,3
110318_OV3_P3_BH_HA_SA2_04.raw,H26-pJAM1198,2,4
110318_OV3_P3_BH_HA_SA2_05.raw,H26-pJAM1198,2,5
110318_OV3_P3_BH_HA_SA2_06.raw,H26-pJAM1198,2,6
110318_OV3_P3_BH_HA_SA2_07.raw,H26-pJAM1198,2,7
110318_OV3_P3_BH_HA_SA2_08.raw,H26-pJAM1198,2,8
110318_OV3_P3_BH_HA_SA2_09_110320172044.raw,H26-pJAM1198,2,9
110318_OV3_P3_BH_HA_SA2_10.raw,H26-pJAM1198,2,10
110318_OV3_P3_BH_HA_SA3_01.raw,H26-pJAM1198,3,1
110318_OV3_P3_BH_HA_SA3_02.raw,H26-pJAM1198,3,2
110318_OV3_P3_BH_HA_SA3_03.raw,H26-pJAM1198,3,3
110318_OV3_P3_BH_HA_SA3_04.raw,H26-pJAM1198,3,4
110318_OV3_P3_BH_HA_SA3_05.raw,H26-pJAM1198,3,5
110318_OV3_P3_BH_HA_SA3_06.raw,H26-pJAM1198,3,6
110318_OV3_P3_BH_HA_SA3_07.raw,H26-pJAM1198,3,7
110318_OV3_P3_BH_HA_SA3_08.raw,H26-pJAM1198,3,8
110318_OV3_P3_BH_HA_SA3_09.raw,H26-pJAM1198,3,9
110318_OV3_P3_BH_HA_SA3_10.raw,H26-pJAM1198,3,10
