Raw file name,Strain,Growth phase,Cell fraction,Replicate
10.raw,HVABI,Exponential,Membrane,replicate 1
10_131129073758.raw,HVABI,Exponential,Membrane,replicate 1
9.raw,HVABI,Exponential,Cytoplasm,replicate 1
9_131125033003.raw,HVABI,Exponential,Cytoplasm,replicate 1
10A.raw,HVABI,Exponential,Membrane,replicate 2
10A_131129150241.raw,HVABI,Exponential,Membrane,replicate 2
9A.raw,HVABI,Exponential,Cytoplasm,replicate 2
9A_131125110110.raw,HVABI,Exponential,Cytoplasm,replicate 2
10B.raw,HVABI,Exponential,Membrane,replicate 3
10B_131129222708.raw,HVABI,Exponential,Membrane,replicate 3
9B.raw,HVABI,Exponential,Cytoplasm,replicate 3
9B_131125223541.raw,HVABI,Exponential,Cytoplasm,replicate 3
10C.raw,HVABI,Exponential,Membrane,replicate 4
10C_131130055123.raw,HVABI,Exponential,Membrane,replicate 4
9C.raw,HVABI,Exponential,Cytoplasm,replicate 4
9C_131126060708.raw,HVABI,Exponential,Cytoplasm,replicate 4
11.raw,HVABI,Stationary,Cytoplasm,replicate 1
11_131126133808.raw,HVABI,Stationary,Cytoplasm,replicate 1
12.rawÿRaw,HVABI,Stationary,Membrane,replicate 1
12_131130131543.raw,HVABI,Stationary,Membrane,replicate 1
11A.raw,HVABI,Stationary,Cytoplasm,replicate 2
11A_131126210917.raw,HVABI,Stationary,Cytoplasm,replicate 2
12A.raw,HVABI,Stationary,Membrane,replicate 2
12A_131130204006.raw,HVABI,Stationary,Membrane,replicate 2
11B.raw,HVABI,Stationary,Cytoplasm,replicate 3
11B_131127044005.raw,HVABI,Stationary,Cytoplasm,replicate 3
12B.raw,HVABI,Stationary,Membrane,replicate 3
12B_131201040426.raw,HVABI,Stationary,Membrane,replicate 3
11C.raw,HVABI,Stationary,Cytoplasm,replicate 4
11C_131127121052.raw,HVABI,Stationary,Cytoplasm,replicate 4
12C.raw,HVABI,Stationary,Membrane,replicate 4
12C_131201112849.raw,HVABI,Stationary,Membrane,replicate 4
5.raw,HVLON3,Exponential,Cytoplasm,replicate 1
5_131112222612.raw,HVLON3,Exponential,Cytoplasm,replicate 1
6_botttom20.raw,HVLON3,Exponential,Membrane,replicate 1
6_top20.raw,HVLON3,Exponential,Membrane,replicate 1
5A.raw,HVLON3,Exponential,Cytoplasm,replicate 2
5A_131113055702.raw,HVLON3,Exponential,Cytoplasm,replicate 2
6A_botttom20.raw,HVLON3,Exponential,Membrane,replicate 2
6A_top20.raw,HVLON3,Exponential,Membrane,replicate 2
5B.raw,HVLON3,Exponential,Cytoplasm,replicate 3
5B_131113132754.raw,HVLON3,Exponential,Cytoplasm,replicate 3
6B.raw,HVLON3,Exponential,Membrane,replicate 3
6B_131101122740.raw,HVLON3,Exponential,Membrane,replicate 3
5C.raw,HVLON3,Exponential,Cytoplasm,replicate 4
5C_131113205840.raw,HVLON3,Exponential,Cytoplasm,replicate 4
6C.raw,HVLON3,Exponential,Membrane,replicate 4
6C_131128164906.raw,HVLON3,Exponential,Membrane,replicate 4
7.raw,HVLON3,Stationary,Cytoplasm,replicate 1
7_131122192428.raw,HVLON3,Stationary,Cytoplasm,replicate 1
8.raw,HVLON3,Stationary,Membrane,replicate 1
8_131101201658.raw,HVLON3,Stationary,Membrane,replicate 1
7A.raw,HVLON3,Stationary,Cytoplasm,replicate 2
7A_131123025552.raw,HVLON3,Stationary,Cytoplasm,replicate 2
8A.raw,HVLON3,Stationary,Membrane,replicate 2
8A_131102040617.raw,HVLON3,Stationary,Membrane,replicate 2
7B.raw,HVLON3,Stationary,Cytoplasm,replicate 3
7B_131125150408.raw,HVLON3,Stationary,Cytoplasm,replicate 3
8B.raw,HVLON3,Stationary,Membrane,replicate 3
8B_131102115537.raw,HVLON3,Stationary,Membrane,replicate 3
7C.raw,HVLON3,Stationary,Cytoplasm,replicate 4
7C_131124195907.raw,HVLON3,Stationary,Cytoplasm,replicate 4
8C.raw,HVLON3,Stationary,Membrane,replicate 4
8C_131129001334.raw,HVLON3,Stationary,Membrane,replicate 4
1.raw,H26,Exponential,Cytoplasm,replicate 1
1_131111162318.raw,H26,Exponential,Cytoplasm,replicate 1
2_botttom20.raw,H26,Exponential,Membrane,replicate 1
2_top20.raw,H26,Exponential,Membrane,replicate 1
1A.raw,H26,Exponential,Cytoplasm,replicate 2
1A_131111235403.raw,H26,Exponential,Cytoplasm,replicate 2
2A_botttom20.raw,H26,Exponential,Membrane,replicate 2
2A_top20_140615200858.raw,H26,Exponential,Membrane,replicate 2
1B.raw,H26,Exponential,Cytoplasm,replicate 3
1B_131112072445.raw,H26,Exponential,Cytoplasm,replicate 3
2B.raw,H26,Exponential,Membrane,replicate 3
2B_131030002035.raw,H26,Exponential,Membrane,replicate 3
1C.raw,H26,Exponential,Cytoplasm,replicate 4
1C_131112145528.raw,H26,Exponential,Cytoplasm,replicate 4
2C.raw,H26,Exponential,Membrane,replicate 4
2C_131128020026.raw,H26,Exponential,Membrane,replicate 4
3.raw,H26,Stationary,Cytoplasm,replicate 1
3_131114042927.raw,H26,Stationary,Cytoplasm,replicate 1
4_botttom20.raw,H26,Stationary,Membrane,replicate 1
4_top20.raw,H26,Stationary,Membrane,replicate 1
3A.raw,H26,Stationary,Cytoplasm,replicate 2
3A_131114120015.raw,H26,Stationary,Cytoplasm,replicate 2
4A_botttom20.raw,H26,Stationary,Membrane,replicate 2
4A_top20.raw,H26,Stationary,Membrane,replicate 2
3B.raw,H26,Stationary,Cytoplasm,replicate 3
3B_131114193105.raw,H26,Stationary,Cytoplasm,replicate 3
4B.raw,H26,Stationary,Membrane,replicate 3
4B_131030234822.raw,H26,Stationary,Membrane,replicate 3
3C.raw,H26,Stationary,Cytoplasm,replicate 4
3C_131115030157.raw,H26,Stationary,Cytoplasm,replicate 4
4C.raw,H26,Stationary,Membrane,replicate 4
4C_131128092443.raw,H26,Stationary,Membrane,replicate 4
