Raw file name,Strain,Cell fraction,Replicate,Protease
20190321_StS_H53_Cyt_Try_stepped.mzML,H53,cytosol,replicate 0,Trypsin
20190321_StS_H53_Mem_Try_stepped.mzML,H53,membrane,replicate 0,Trypsin
20190321_StS_H53_SN_Try_stepped.mzML,H53,supernatant,replicate 0,Trypsin
20190321_StS_H53_Cyt_GluC_stepped.mzML,H53,cytosol,replicate 0,GluC
20190321_StS_H53_Mem_GluC_stepped.mzML,H53,membrane,replicate 0,GluC
20190321_StS_H53_SN_GluC_stepped.mzML,H53,supernatant,replicate 0,GluC
20190604_StS_Agl15_Cyt_Try_Rep1.mzML,agl15::trp,cytosol,replicate 1,Trypsin
20190604_StS_Agl15_Mem_Try_Rep1.mzML,agl15::trp,membrane,replicate 1,Trypsin
20190604_StS_Agl15_SN_Try_Rep1.mzML,agl15::trp,supernatant,replicate 1,Trypsin
20190604_StS_AglB_Cyt_Try_Rep1_2.mzML,aglB::trp,cytosol,replicate 1,Trypsin
20190604_StS_AglB_Cyt_Try_Rep1.mzML,aglB::trp,cytosol,replicate 1,Trypsin
20190604_StS_AglB_Mem_Try_Rep1.mzML,aglB::trp,membrane,replicate 1,Trypsin
20190604_StS_AglB_SN_Try_Rep1.mzML,aglB::trp,supernatant,replicate 1,Trypsin
20190604_StS_H53_Cyt_Try_Rep1.mzML,H53,cytosol,replicate 1,Trypsin
20190604_StS_H53_Mem_Try_Rep1.mzML,H53,membrane,replicate 1,Trypsin
20190604_StS_H53_SN_Try_Rep1.mzML,H53,supernatant,replicate 1,Trypsin
20190604_StS_Agl15_Cyt_GluC_Rep1.mzML,agl15::trp,cytosol,replicate 1,GluC
20190604_StS_Agl15_Mem_GluC_Rep1.mzML,agl15::trp,membrane,replicate 1,GluC
20190604_StS_Agl15_SN_GluC_Rep1.mzML,agl15::trp,supernatant,replicate 1,GluC
20190604_StS_AglB_Cyt_GluC_Rep1.mzML,aglB::trp,cytosol,replicate 1,GluC
20190604_StS_AglB_Mem_GluC_Rep1.mzML,aglB::trp,membrane,replicate 1,GluC
20190604_StS_AglB_SN_GluC_Rep1.mzML,aglB::trp,supernatant,replicate 1,GluC
20190604_StS_H53_Cyt_GluC_Rep1-2.mzML,H53,cytosol,replicate 1,GluC
20190604_StS_H53_Cyt_GluC_Rep1.mzML,H53,cytosol,replicate 1,GluC
20190604_StS_H53_Mem_GluC_Rep1.mzML,H53,membrane,replicate 1,GluC
20190604_StS_H53_SN_GluC_Rep1.mzML,H53,supernatant,replicate 1,GluC
