Raw file name,Strain,Condition,Replicate
240456042 210224_StS_Hfx_cetZ_E1_60min.raw,DcetZ1,early-log,1
212639849 210224_StS_Hfx_cetZ_E2_60min.raw,DcetZ1,early-log,2
261332636 210224_StS_Hfx_cetZ_L1_60min.raw,DcetZ1,late-log,1
242666727 210224_StS_Hfx_cetZ_L2_60min.raw,DcetZ1,late-log,2
266712584 210224_StS_Hfx_H53_E1_60min.raw,H53,early-log,1
225941440 210224_StS_Hfx_H53_E2_60min.raw,H53,early-log,2
247529184 210224_StS_Hfx_H53_L1_60min.raw,H53,late-log,1
265665115 210224_StS_Hfx_H53_L2_60min.raw,H53,late-log,2
264606773 210224_StS_Hfx_H98_E1_60min.raw,H98,early-log,1
199616491 210224_StS_Hfx_H98_E2_60min.raw,H98,early-log,2
261478975 210224_StS_Hfx_H98_L1_60min.raw,H98,late-log,1
257823893 210224_StS_Hfx_H98_L2_60min.raw,H98,late-log,2
253419392 210224_StS_Hfx_JK3_E1_60min.raw,JK3,early-log,1
245779835 210224_StS_Hfx_JK3_E2_60min.raw,JK3,early-log,2
258342935 210224_StS_Hfx_JK3_L1_60min.raw,JK3,late-log,1
269097051 210224_StS_Hfx_JK3_L2_60min.raw,JK3,late-log,2
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_4a_330ng_60min_Wat25cmBEH_1.raw,DrdfA,early-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_4b_330ng_60min_Wat25cmBEH_1.raw,DrdfA,early-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_4c_330ng_60min_Wat25cmBEH_1.raw,DrdfA,early-log,6
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_5a_330ng_60min_Wat25cmBEH_1.raw,DrdfA,late-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_5b_330ng_60min_Wat25cmBEH_1.raw,DrdfA,late-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2174_5c_330ng_60min_Wat25cmBEH_1.raw,DrdfA,late-log,6
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_6a_330ng_60min_Wat25cmBEH_1.raw,DddfA,early-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_6b_330ng_60min_Wat25cmBEH_1.raw,DddfA,early-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_6c_330ng_60min_Wat25cmBEH_1.raw,DddfA,early-log,6
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_7a_330ng_60min_Wat25cmBEH_1.raw,DddfA,late-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_7b_330ng_60min_Wat25cmBEH_1.raw,DddfA,late-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_d2176_7c_330ng_60min_Wat25cmBEH_1.raw,DddfA,late-log,6
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_1a_330ng_60min_Wat25cmBEH_1.raw,H53,early-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_1b_330ng_60min_Wat25cmBEH_1.raw,H53,early-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_1c_330ng_60min_Wat25cmBEH_1.raw,H53,early-log,6
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_2a_330ng_60min_Wat25cmBEH_1.raw,H53,late-log,4
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_2b_330ng_60min_Wat25cmBEH_1.raw,H53,late-log,5
20220622_jcl_SSchulze_Pohlschroder_UPenn_Haloferax_H53_2c_330ng_60min_Wat25cmBEH_1.raw,H53,late-log,6
