HVO ID,Uniprot ID,Description,Protein q-value,Peptides,PSMs,Sequence Coverage,Dataset,Total Datasets,Predicted Processing,Molecular Weight,pI,Hydrophobicity,arCOG,arCOGlet
HVO_0001,D4GYJ7,(orc1) Orc1-type DNA replication protein,0.0,15,461,39.361702127659576,PXD007061,9,Cyt,62131,4.21,-0.52,arCOG00467,L
HVO_0002,D4GYJ8,(sec11b) signal peptidase I,0.0,6,170,31.010452961672474,PXD007061,10,TM N-term,30295,4.45,-0.14,arCOG01739,U
HVO_0003,D4GYJ9,(polD1) DNA-directed DNA polymerase D exonuclease subunit DP1,0.0,1,2,2.25140712945591,PXD007061,8,Cyt,57786,4.57,-0.32,arCOG04455,L
HVO_0004,D4GYK0,NamA family oxidoreductase,0.0,2,7,9.6,PXD007061,8,Cyt,39266,4.01,-0.3,arCOG00615,C
HVO_0006,D4GYK2,acetyltransferase domain protein,0.0,1,2,21.12676056338028,PXD007061,6,Cyt,15347,4.53,-0.14,arCOG04728,S
HVO_0008,D4GYK3,(lysC) aspartate kinase,0.0,10,888,37.755102040816325,PXD007061,11,Cyt,41674,4.29,0.03,arCOG00861;arCOG04444,E;R
HVO_0009,D4GYK5,(tnaA) tryptophanase,0.0,2,4,7.8125,PXD007061,11,Cyt,48513,4.74,-0.21,arCOG04196,E
HVO_0011,D4GYK7,"(purO) inosine-5'-monophosphate cyclohydrolase, archaeal-type",0.0,8,201,79.47368421052632,PXD007061,11,Cyt,20559,4.15,-0.24,arCOG04727,F
HVO_0013,D4GYK8,(cgi121) KEOPS complex subunit Cgi121,0.0,2,25,18.29268292682927,PXD007061,4,Cyt,17815,4.18,0.03,arCOG02197,J
HVO_0014,D4GYK9,(hel308a) ATP-dependent DNA helicase Hel308a,0.0,21,444,33.73639661426844,PXD007061,10,Cyt,90300,4.54,-0.46,arCOG00553,L
HVO_0015,D4GYL0,(ferC) ferredoxin (4Fe-4S),0.0,1,6,19.753086419753085,PXD007061,4,Cyt,9169,3.91,-0.49,arCOG00349,C
HVO_0016,D4GYL1,conserved hypothetical protein,0.0,4,49,18.596491228070175,PXD007061,8,Cyt,30808,4.13,-0.34,arCOG04737,S
HVO_0017,D4GYL2,conserved hypothetical protein,0.0,7,212,56.25,PXD007061,10,Cyt,21868,4.35,-0.43,arCOG02453,T
HVO_0019,D4GYL4,probable S-adenosylmethionine-dependent methyltransferase (homolog to 24-sterol C-methyltransferase),0.0,3,9,26.106194690265486,PXD007061,10,Cyt,25565,4.46,-0.55,arCOG01781,Q
HVO_0020,D4GYL5,(thiQ) ABC-type transport system ATP-binding protein (probable substrate thiamine),0.0,4,79,19.667590027700832,PXD007061,9,Cyt,38250,4.7,-0.17,arCOG00177;arCOG00228,E;H
HVO_0024,D4GYL9,(tssA2) rhodanese domain protein,0.0,10,645,56.58914728682171,PXD007061,11,Cyt,28418,4.09,-0.25,arCOG02019,P
